"";"Onderwerpen";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente"
"";"Onderwerpen";"Totaal huishoudelijk afval";"Huishoudelijk restafval";"Grof huishoudelijk restafval";"Verbouwingsrestafval";"GFT-afval";"Oud papier en karton";"Verpakkingsglas";"Textiel";"Klein chemisch afval (KCA)";"Metalen verpakkingen (blik)";"Drankenkartons";"Kunststof verpakkingen";"Overige kunststoffen";"Luiers";"Wit- en bruingoed";"Grof tuinafval";"Bruikbaar huisraad";"Vloerbedekking";"Vlakglas";"Metalen";"Houtafval (A- en B-hout)";"Houtafval (C-hout)";"Schoon puin";"Bitumenhoudende dakbedekking";"Asbesthoudend afval";"Autobanden";"Schone grond";"Overige afvalstoffen";"Gemeentecode";"Provincie";"Stedelijkheid";"Inwoners per 1 januari"
"Regio's";"Perioden";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"";"";"";"aantal"
"Roggel en Neer";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Roggel en Neer";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Roggel en Neer";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Roggel en Neer";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Roggel en Neer";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Roggel en Neer";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"De Ronde Venen";"2002";"514";"216";"55";"-";"108";"70";"23";"4";"1";"-";"0";"-";".";".";"2";"14";"11";"-";"0";"3";"2";".";"4";"-";"0";"0";"-";"-";"0736";"Utrecht";"Weinig stedelijk";"34420"
"De Ronde Venen";"2003";"508";"213";"45";"-";"102";"69";"30";"5";"1";"-";"0";"-";".";".";"3";"11";"8";"-";"0";"3";"8";".";"11";"-";"0";"0";"-";"-";"0736";"Utrecht";"Weinig stedelijk";"34499"
"De Ronde Venen";"2004";"525";"218";"20";"8";"108";"69";"28";"4";"2";"-";"-";"-";".";".";"3";"14";".";"-";"0";"7";"20";".";"15";"-";"1";"0";"-";"-";"0736";"Utrecht";"Weinig stedelijk";"34437"
"De Ronde Venen";"2005";"533";"219";"21";"10";"106";"73";"23";"5";"2";"-";"-";"-";".";".";"4";"18";"6";"-";"0";"5";"23";".";"16";"-";"0";"0";"-";"-";"0736";"Utrecht";"Weinig stedelijk";"34438"
"De Ronde Venen";"2006";"532";"220";"21";"8";"100";"72";"23";"5";"2";"-";"-";"-";".";".";"4";"17";"5";"-";"0";"7";"28";".";"17";"-";"0";"0";"-";"2";"0736";"Utrecht";"Weinig stedelijk";"34353"
"De Ronde Venen";"2007";"554";"221";"24";"7";"99";"78";"22";"5";"2";"-";"-";"1";"-";"-";"7";"20";"6";"0";"1";"8";"31";"3";"20";"-";"0";"0";"-";"-";"0736";"Utrecht";"Weinig stedelijk";"34565"
"De Ronde Venen";"2008";"571";"222";"24";"7";"98";"84";"22";"5";"2";"-";"-";"2";"-";"-";"7";"22";"9";"1";"1";"8";"32";"2";"22";"-";"0";"0";"-";"-";"0736";"Utrecht";"Weinig stedelijk";"34569"
"De Ronde Venen";"2009";"548";"211";"21";"-";"97";"82";"22";"4";"2";"-";"-";"5";"-";"-";"9";"23";"9";"1";"1";"8";"27";"2";"22";"-";"0";"0";"-";"2";"0736";"Utrecht";"Weinig stedelijk";"34528"
"De Ronde Venen";"2010";"560";"229";"24";"-";"96";"77";"22";"4";"2";"-";"-";"6";"-";"-";"8";"24";"7";".";"1";"5";"27";"2";"20";"-";"1";"0";"-";"2";"0736";"Utrecht";"Weinig stedelijk";"34400"
"De Ronde Venen";"2011";"536";"198";"27";"0";"104";"72";"24";"4";"2";"-";"-";"6";"-";"-";"11";"16";"9";".";"1";"5";"27";"3";"23";"-";"1";"0";"-";"2";"0736";"Utrecht";"Weinig stedelijk";"43004"
"De Ronde Venen";"2012*";"524";"200";"23";"0";"105";"65";"24";"4";"2";"-";"-";"6";"-";"-";"9";"19";"7";"-";"1";"5";"27";"3";"21";"-";"0";"0";"-";"2";"0736";"Utrecht";"Weinig stedelijk";"42977"
"Roosendaal";"2002";"631";"264";"53";"-";"65";"66";"20";"2";"1";"-";"-";"1";".";".";"4";"27";"1";"3";".";"6";"25";".";"64";"-";"1";"0";"28";"-";"1674";"Noord-Brabant";"Matig stedelijk";"77558"
"Roosendaal";"2003";"638";"259";"57";"-";"65";"61";"19";"3";"1";"-";"-";"0";".";".";"4";"28";"2";"4";"-";"7";"30";".";"69";"-";"1";"0";"27";"1";"1674";"Noord-Brabant";"Matig stedelijk";"78110"
"Roosendaal";"2004";"671";"254";"71";"0";"72";"65";"19";"4";"1";"-";"-";"0";".";".";"5";"30";"1";"2";"0";"7";"26";".";"77";"-";"1";"0";"28";"0";"1674";"Noord-Brabant";"Matig stedelijk";"77916"
"Roosendaal";"2005";"687";"237";"78";"1";"79";"74";"20";"4";"2";"-";"-";".";".";".";"7";"32";"1";"2";"1";"7";"28";".";"79";"-";"0";"0";"32";"-";"1674";"Noord-Brabant";"Matig stedelijk";"77734"
"Roosendaal";"2006";"684";"236";"71";"0";"75";"69";"20";"4";"2";"-";"-";"-";".";".";"6";"36";"3";".";"1";"7";"40";".";"80";"0";"1";"0";"27";"3";"1674";"Noord-Brabant";"Matig stedelijk";"77703"
"Roosendaal";"2007";"699";"238";"71";"1";"75";"72";"20";"5";"2";"-";"-";"-";"-";"-";"6";"34";"4";"-";"1";"7";"34";"6";"86";"-";"1";"0";"34";"4";"1674";"Noord-Brabant";"Matig stedelijk";"77450"
"Roosendaal";"2008";"709";"248";"72";"1";"64";"73";"20";"5";"2";"-";"-";"-";"-";"-";"6";"38";"3";"-";"1";"7";"34";"7";"90";"-";"1";"0";"31";"4";"1674";"Noord-Brabant";"Matig stedelijk";"77277"
"Roosendaal";"2009";"663";"235";"50";"0";"69";"73";"20";"4";"2";"-";"-";"2";"-";"-";"7";"35";"3";"-";"0";"7";"32";"7";"83";"0";"1";"0";"27";"5";"1674";"Noord-Brabant";"Matig stedelijk";"77482"
"Roosendaal";"2010";"647";"186";"44";"0";"107";"74";"20";"4";"2";"-";"-";"6";"-";"-";"7";"34";"4";"-";"1";"6";"33";"6";"75";"5";"1";"0";"27";"5";"1674";"Noord-Brabant";"Matig stedelijk";"77566"
"Roosendaal";"2011";"646";"189";"44";"0";"107";"72";"19";"4";"2";"-";"-";"5";"-";"-";"6";"35";"4";"-";"0";"6";"33";"5";"75";"6";"1";"0";"26";"5";"1674";"Noord-Brabant";"Matig stedelijk";"77541"
"Roosendaal";"2012*";"629";"191";"39";"0";"104";"67";"20";"5";"2";"-";"-";"5";"-";"-";"5";"37";"4";"-";"0";"5";"32";"6";"70";"5";"0";"0";"25";"5";"1674";"Noord-Brabant";"Matig stedelijk";"77426"
"Rotterdam";"2002";"506";"348";"58";"15";"24";"25";"11";"0";"1";"-";"-";"0";".";".";"4";"3";"2";"-";"0";"2";"6";".";"5";"0";"0";"0";"3";"-";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"598568"
"Rotterdam";"2003";"514";"353";"53";"18";"22";"27";"11";"1";"1";"-";"-";"0";".";".";"5";"4";"0";"-";"0";"2";"7";".";"6";"0";"0";"0";"3";"-";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"599651"
"Rotterdam";"2004";"512";"327";"63";"19";"23";"28";"11";"2";"1";"-";"-";"0";".";".";"5";"4";".";"-";"0";"3";"9";".";"6";"0";"0";"0";"4";"-";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"598923"
"Rotterdam";"2005";"535";"357";"61";"18";"24";"28";"11";"2";"1";"-";"-";"0";".";".";"4";"5";"0";"-";"0";"3";"10";".";"6";"0";"0";"0";"4";"1";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"596407"
"Rotterdam";"2006";"548";"395";"56";"18";"-";"30";"11";"3";"1";"-";"-";"0";".";".";"4";"5";"0";"-";"0";"3";"11";".";"7";"0";"0";"0";"4";"-";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"588697"
"Rotterdam";"2007";"530";"369";"59";"20";"-";"27";"11";"2";"1";"-";"-";"0";"-";"1";"4";"5";"1";"-";"0";"3";"13";"0";"7";"0";"0";"0";"5";"-";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"584058"
"Rotterdam";"2008";"520";"372";"44";"19";"-";"27";"11";"2";"1";"-";"-";"-";"0";"0";"4";"6";"1";"-";"0";"4";"14";"1";"8";"0";"0";"0";"4";"0";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"582951"
"Rotterdam";"2009";"539";"392";"42";"19";"-";"28";"11";"2";"1";"-";"-";"-";"0";"-";"4";"6";"1";"-";"0";"4";"15";"1";"8";"0";"0";"0";"6";"0";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"587134"
"Rotterdam";"2010";"516";"372";"39";"8";"1";"28";"11";"2";"1";"-";"-";"0";"0";"-";"4";"6";"0";"-";"0";"4";"16";"1";"15";"0";"0";"0";"5";"2";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"605543"
"Rotterdam";"2011";"475";"337";"36";"9";"1";"29";"11";"3";"1";"-";"-";"0";"1";"-";"4";"6";"0";"-";"0";"3";"15";"1";"13";"0";"0";"0";"5";"1";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"610386"
"Rotterdam";"2012*";"460";"333";"34";"6";"1";"25";"11";"2";"1";"-";"-";"0";"1";"-";"4";"5";"0";"-";"0";"3";"14";"1";"12";"0";"0";"0";"4";"1";"0599";"Zuid-Holland";"Zeer sterk stedelijk";"616260"
"Rozenburg";"2002";"610";"270";"78";"-";"67";"43";"16";"4";"1";"-";"-";"-";".";".";"5";"8";"-";"-";"0";"6";"8";".";"69";"-";"0";"0";"34";"-";"0600";"Zuid-Holland";"Matig stedelijk";"13239"
"Rozenburg";"2003";"629";"268";"69";"2";"90";"42";"16";"4";"1";"0";"-";"-";".";".";".";"8";"-";"-";"0";"8";"8";".";"69";"1";"1";"0";"38";"-";"0600";"Zuid-Holland";"Matig stedelijk";"13241"
"Rozenburg";"2004";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0600";"Zuid-Holland";"Matig stedelijk";"13173"
"Rozenburg";"2005";"607";"276";"52";"-";"69";"34";"16";"3";"1";"-";"-";"-";".";".";"5";"22";"-";"1";"0";"10";"27";".";"58";"-";"0";".";"29";"2";"0600";"Zuid-Holland";"Matig stedelijk";"13095"
"Rozenburg";"2006";"620";"281";"57";"-";"63";"33";"17";"3";"1";"-";"-";"1";".";".";"6";"27";"-";"-";"1";"12";"31";".";"63";"-";"0";"0";"22";"2";"0600";"Zuid-Holland";"Matig stedelijk";"12843"
"Rozenburg";"2007";"640";"273";"54";"-";"64";"34";"18";"17";"1";"-";"-";"2";"-";"-";"9";"34";"-";"-";"1";"11";"27";"1";"67";"-";"0";"-";"26";"-";"0600";"Zuid-Holland";"Matig stedelijk";"12680"
"Rozenburg";"2008";"623";"280";"49";"-";"65";"45";"17";"3";"1";"-";"-";"1";"-";"-";"8";"27";"-";"-";"1";"11";"28";"2";"60";"-";"0";"-";"25";"-";"0600";"Zuid-Holland";"Matig stedelijk";"12553"
"Rozenburg";"2009";"617";"275";"44";"-";"64";"41";"18";"5";"1";"-";"-";"2";"-";"-";"7";"31";"-";"-";"1";"11";"26";"3";"58";"-";"0";"-";"30";"-";"0600";"Zuid-Holland";"Matig stedelijk";"12475"
"Rozenburg";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Rozenburg";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Rozenburg";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Rozendaal";"2002";"508";"209";"49";"-";"135";"81";"10";"4";"1";"-";"-";"-";".";".";"4";"7";"-";"-";"-";"2";"-";".";"6";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1529"
"Rozendaal";"2003";"496";"190";"47";"-";"151";"69";"12";"4";"2";"-";"-";"-";".";".";"3";"9";"-";"-";"-";"2";"-";".";"7";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1527"
"Rozendaal";"2004";"582";"209";"20";"-";"226";"78";"13";"4";"3";"-";"-";"-";".";".";"3";"16";"-";"-";"-";"2";"-";".";"7";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1509"
"Rozendaal";"2005";"584";"212";"19";"-";"218";"76";"17";"4";"3";"-";"-";"-";".";".";"3";"19";"-";"-";"-";"5";"-";".";"9";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1513"
"Rozendaal";"2006";"583";"214";"18";"-";"212";"75";"17";"4";"3";"-";"-";"-";".";".";"3";"20";"-";"-";"-";"5";"-";".";"11";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1502"
"Rozendaal";"2007";"568";"196";"22";"1";"210";"73";"16";"5";"3";"-";"-";"-";"-";"-";"3";"22";"-";"2";"-";"4";"-";"-";"10";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1527"
"Rozendaal";"2008";"586";"211";"23";"2";"213";"76";"17";"5";"3";"-";"-";"-";"-";"-";"3";"17";"-";"1";"-";"5";"-";"-";"9";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1511"
"Rozendaal";"2009";"579";"210";"30";"2";"195";"77";"15";"3";"4";"-";"-";"1";"-";"-";"3";"23";"-";"1";"-";"5";"-";"-";"9";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1515"
"Rozendaal";"2010";"560";"187";"23";"2";"190";"93";"17";"2";".";"-";"-";"7";"-";"-";"4";"19";"-";"-";"-";"2";"-";"-";"11";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1495"
"Rozendaal";"2011";"573";"199";"23";"3";"203";"81";"19";"3";".";"-";"-";"9";"-";"-";"5";"15";"-";"-";"-";"1";"-";"-";"11";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1512"
"Rozendaal";"2012*";"545";"165";"22";"3";"199";"81";"18";"3";"3";"-";"-";"9";"-";"-";"3";"23";"-";"-";"-";"3";"-";"-";"11";"-";"1";"-";"-";"-";"0277";"Gelderland";"Weinig stedelijk";"1514"
"Rucphen";"2002";"639";"266";"27";"-";"133";"83";"19";"6";"1";"-";"-";"-";".";".";".";"24";"1";"-";"-";"4";"33";".";"34";"-";"2";".";"-";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22571"
"Rucphen";"2003";"589";"271";"7";"-";"127";"67";"18";"5";"2";"-";"-";"-";".";".";"4";"21";"3";"-";"2";"4";"19";".";"37";"-";"3";"-";"-";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22607"
"Rucphen";"2004";"585";"266";"9";"-";"131";"68";"19";"6";"2";"-";"-";"-";".";".";"4";"20";"4";"-";"2";"3";"16";".";"32";"-";"3";"0";"-";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22624"
"Rucphen";"2005";".";"263";".";"-";"136";".";"16";"7";"1";"-";"-";"-";".";".";".";".";"4";"-";"1";"3";"13";".";"26";"-";"2";"0";"3";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22527"
"Rucphen";"2006";"614";"217";"29";"-";"175";"74";"16";"7";"1";"-";"-";"-";".";".";"4";"35";"5";"-";"1";"3";"11";".";"29";"-";"2";"0";"4";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22412"
"Rucphen";"2007";"661";"226";"45";"-";"172";"75";"18";"9";"1";"-";"-";"-";"-";"-";"5";"23";"4";"-";"1";"4";"19";"-";"49";"-";"2";"0";"8";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22408"
"Rucphen";"2008";"646";"227";"39";"-";"165";"68";"18";"5";"1";"-";"-";"-";"-";"0";"6";"23";"3";"-";"0";"4";"22";"4";"51";"-";"2";"0";"7";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22473"
"Rucphen";"2009";"649";"232";"37";"-";"165";"64";"16";"6";"1";"-";"-";"1";"1";"0";"8";"22";"4";"-";"1";"4";"20";"4";"51";"-";"1";"0";"9";"0";"0840";"Noord-Brabant";"Weinig stedelijk";"22549"
"Rucphen";"2010";"634";"222";"35";"-";"160";"68";"18";"5";"1";"-";"-";"5";"2";"0";"5";"21";"4";"-";"0";"3";"20";"4";"50";"-";"1";"0";"7";"0";"0840";"Noord-Brabant";"Weinig stedelijk";"22484"
"Rucphen";"2011";"639";"232";"34";"-";"158";"65";"18";"4";"1";"-";"-";"6";"2";"0";"6";"21";"4";"-";"0";"3";"22";"4";"48";"-";"1";"0";"8";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22430"
"Rucphen";"2012*";"629";"228";"34";"-";"154";"57";"18";"4";"1";"-";"-";"7";"2";"0";"5";"24";"5";"-";"0";"3";"22";"3";"50";"-";"1";"0";"9";"-";"0840";"Noord-Brabant";"Weinig stedelijk";"22320"
"Ruurlo";"2002";"582";"248";"6";"3";"179";"79";"23";"4";"2";"0";"-";"-";".";".";".";"8";"14";"2";"-";"0";"8";".";"2";"-";"0";".";"-";"-";"0278";"Gelderland";"Niet stedelijk";"8348"
"Ruurlo";"2003";"559";"241";"6";"4";"169";"79";"23";"3";"2";"0";"-";"-";".";".";".";"5";".";"2";"-";".";"10";".";"2";"-";"1";"0";"-";"-";"0278";"Gelderland";"Niet stedelijk";"8584"
"Ruurlo";"2004";".";"250";"39";"0";"182";"79";"23";".";"1";"0";"-";"-";".";".";"3";"7";".";"3";"-";".";"10";".";".";"-";"0";".";"-";"-";"0278";"Gelderland";"Niet stedelijk";"8676"
"Ruurlo";"2005";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2006";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ruurlo";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2002";"669";"300";"44";"24";"104";"69";"24";"2";"1";"-";"-";"-";".";".";"3";"17";"-";"-";"1";"5";"18";".";"39";"-";"1";"-";"19";"0";"0704";"Zeeland";"Niet stedelijk";"8578"
"Sas van Gent";"2003";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2004";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2005";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2006";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sas van Gent";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2002";"531";"218";"29";"-";"113";"67";"33";"5";"2";"-";"-";"-";".";".";"4";"21";"0";"3";"-";"7";"15";".";"14";"-";"0";"-";"-";"-";"0604";"Zuid-Holland";"Matig stedelijk";"14829"
"Sassenheim";"2003";"534";"223";"29";"-";"93";"70";"32";"5";"2";"-";"-";"-";".";".";"4";"32";"0";"2";"-";"5";"19";".";"17";"-";"1";"-";"-";"-";"0604";"Zuid-Holland";"Matig stedelijk";"14841"
"Sassenheim";"2004";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"0604";"Zuid-Holland";"Matig stedelijk";"14829"
"Sassenheim";"2005";"563";"229";"38";"-";"91";"63";"35";"5";"2";"-";"-";"-";".";".";"9";"32";"0";"2";"-";"8";"31";".";"17";"-";"1";"-";"-";"-";"0604";"Zuid-Holland";"Matig stedelijk";"14844"
"Sassenheim";"2006";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Sassenheim";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Schagen";"2002";"571";"226";"32";"-";"114";"66";"29";"5";"1";"-";"-";"-";".";".";".";"19";"-";"-";"0";"4";"23";".";"36";"-";"1";"-";"7";"5";"0441";"Noord-Holland";"Weinig stedelijk";"17185"
"Schagen";"2003";"575";"217";"32";"4";"110";"66";"29";"5";"1";"-";"-";"-";".";".";"2";"22";"-";"-";"1";"5";"27";".";"40";"-";"1";"-";"8";"5";"0441";"Noord-Holland";"Weinig stedelijk";"17488"
"Schagen";"2004";"565";"219";"26";"-";"110";"65";"27";".";"1";"-";"-";"-";".";".";"4";"21";"-";"-";"1";"5";"26";".";"37";"-";"1";"-";"9";"9";"0441";"Noord-Holland";"Matig stedelijk";"18198"
"Schagen";"2005";"553";"218";"25";"4";"111";"58";"24";".";"1";"-";"-";"-";".";".";"2";"22";"-";"-";"1";"6";"27";".";"35";"-";"1";".";"11";"5";"0441";"Noord-Holland";"Matig stedelijk";"18602"
